,ARTIST,ARTIST_SONGS_LINK,TOTAL_SONGS
0,Radiohead,https://songmeanings.com/artist/view/songs/200/,202
1,Brand New,https://songmeanings.com/artist/view/songs/7710/,86
2,Modest Mouse,https://songmeanings.com/artist/view/songs/892/,188
3,Bright Eyes,https://songmeanings.com/artist/view/songs/5303/,197
4,Coldplay,https://songmeanings.com/artist/view/songs/743/,199
5,Bon Iver,https://songmeanings.com/artist/view/songs/137438979418/,88
6,Death Cab for Cutie,https://songmeanings.com/artist/view/songs/5963/,152
7,The Beatles,https://songmeanings.com/artist/view/songs/10/,380
8,Mumford & Sons,https://songmeanings.com/artist/view/songs/137438984026/,92
9,Kings of Leon,https://songmeanings.com/artist/view/songs/8589949184/,96
10,The National,https://songmeanings.com/artist/view/songs/137438965436/,158
11,Tool,https://songmeanings.com/artist/view/songs/249/,90
12,Taylor Swift,https://songmeanings.com/artist/view/songs/137438973836/,222
13,Lady GaGa,https://songmeanings.com/artist/view/songs/137438984319/,166
14,Nirvana,https://songmeanings.com/artist/view/songs/34/,129
15,Regina Spektor,https://songmeanings.com/artist/view/songs/137438962288/,178
16,Bob Dylan,https://songmeanings.com/artist/view/songs/101/,673
17,Elliott Smith,https://songmeanings.com/artist/view/songs/4933/,244
18,Arcade Fire,https://songmeanings.com/artist/view/songs/137438963241/,116
19,Florence + the Machine,https://songmeanings.com/artist/view/songs/137438984123/,100
20,Pink Floyd,https://songmeanings.com/artist/view/songs/46/,245
21,Dave Matthews Band,https://songmeanings.com/artist/view/songs/43/,227
22,The Smiths,https://songmeanings.com/artist/view/songs/464/,80
23,Eminem,https://songmeanings.com/artist/view/songs/94/,399
24,Animal Collective,https://songmeanings.com/artist/view/songs/137438961915/,190
25,Paramore,https://songmeanings.com/artist/view/songs/137438966864/,108
26,John Mayer,https://songmeanings.com/artist/view/songs/5535/,161
27,Pearl Jam,https://songmeanings.com/artist/view/songs/68/,282
28,Red Hot Chili Peppers,https://songmeanings.com/artist/view/songs/58/,266
29,Sufjan Stevens,https://songmeanings.com/artist/view/songs/137438960865/,323
30,The Killers,https://songmeanings.com/artist/view/songs/137438967123/,113
31,Muse,https://songmeanings.com/artist/view/songs/550/,174
32,Arctic Monkeys,https://songmeanings.com/artist/view/songs/137438966819/,134
33,Fall Out Boy,https://songmeanings.com/artist/view/songs/16957/,163
34,Metallica,https://songmeanings.com/artist/view/songs/500/,196
35,Blink-182,https://songmeanings.com/artist/view/songs/121/,185
36,A Day to Remember,https://songmeanings.com/artist/view/songs/137438967810/,83
37,Iron & Wine,https://songmeanings.com/artist/view/songs/137438963870/,211
38,The Smashing Pumpkins,https://songmeanings.com/artist/view/songs/154/,370
39,Nine Inch Nails,https://songmeanings.com/artist/view/songs/191/,258
40,Deftones,https://songmeanings.com/artist/view/songs/279/,147
41,Tegan and Sara,https://songmeanings.com/artist/view/songs/7002/,160
42,The Cure,https://songmeanings.com/artist/view/songs/327/,289
43,Incubus,https://songmeanings.com/artist/view/songs/42/,154
44,U2,https://songmeanings.com/artist/view/songs/56/,329
45,The Mountain Goats,https://songmeanings.com/artist/view/songs/7770/,653
46,Green Day,https://songmeanings.com/artist/view/songs/168/,266
47,Fleet Foxes,https://songmeanings.com/artist/view/songs/137438975624/,53
48,Adele,https://songmeanings.com/artist/view/songs/137438976616/,54
49,Owl City,https://songmeanings.com/artist/view/songs/137438980572/,117
