,ARTIST,SONG_NAME,SONG_LINK,LYRIC
0,Radiohead,15 Step,https://songmeanings.com/songs/view/3530822107858597829/,"<div class=""holder lyric-box"">
						How come I end up where I started<br/>
How come I end up where I belong<br/>
Won't take my eyes off the ball again<br/>
You reel me out then you cut the string<br/>
<br/>
How come I end up where I started<br/>
How come I end up where I belong<br/>
Won't take my eyes off the ball again<br/>
You reel me out then you cut the string<br/>
<br/>
You used to be alright<br/>
What happened?<br/>
Did the cat get your tongue<br/>
Did your string come undone<br/>
One by one<br/>
One by one<br/>
It comes to us all<br/>
It's as soft as your pillow<br/>
<br/>
You used to be alright<br/>
What happened?<br/>
Etcetera etcetera<br/>
Facts for whatever<br/>
Fifteen steps<br/>
Then a shear drop<br/>
<br/>
How come I end up where I started<br/>
How come I end up where I belong<br/>
Won't take my eyes off the ball again<br/>
You reel me out then you cut the string<br/><br/><br/> </div>"
1,Radiohead,2 + 2 = 5 (The Lukewarm),https://songmeanings.com/songs/view/3458764513820560241/,"<div class=""holder lyric-box"">
						Are you such a dreamer,<br/>
To put the world to rights?<br/>
I'll stay home forever,<br/>
Where two and two always makes a five<br/>
<br/>
I'll lay down the tracks,<br/>
Sandbag and hide,<br/>
January has April showers,<br/>
And two and two always makes a five<br/>
<br/>
It's the Devil's way now,<br/>
There is no way out,<br/>
You can scream and you can shout,<br/>
It is too late now<br/>
<br/>
Because you have not been<br/>
Payin' attention,<br/>
Payin' attention,<br/>
Payin' attention,<br/>
Payin' attention<br/>
<br/>
Yeah I feel it, I needed attention,<br/>
Payin' attention,<br/>
Payin' attention,<br/>
Payin' attention<br/>
<br/>
Yeah I need it, I needed attention,<br/>
I needed attention,<br/>
I needed attention,<br/>
I needed attention<br/>
<br/>
Yeah I love it, the attention,<br/>
Payin' attention,<br/>
Payin' attention,<br/>
Payin' attention<br/>
<br/>
(Soon, oh)<br/>
I try to sing along,<br/>
I get it all wrong,<br/>
'Cause I'm not,<br/>
'Cause I'm not<br/>
I swat 'em like flies,<br/>
But like flies the buggers keep coming back<br/>
<br/>
But I'm not,<br/>
Oh hail to the thief,<br/>
Oh hail to the thief<br/>
<br/>
But I'm not,<br/>
But I'm not,<br/>
But I'm not,<br/>
But I'm not<br/>
<br/>
Don't question my authority or put me in the dock,<br/>
'Cause I'm not,<br/>
'Cause I'm not<br/>
<br/>
Oh go up to the king, and the sky is falling in,<br/>
But it's not,<br/>
But it's not<br/>
But it's not<br/>
<br/>
Maybe not,<br/>
Maybe not<br/><br/><br/> </div>"
2,Radiohead,2HB,https://songmeanings.com/songs/view/3458764513820560556/,"<div class=""holder lyric-box"">
						Oh, I was moved by your screen dream  <br/>
Celluloid pictures living  <br/>
Your death could not kill my love for you  <br/>
Take two people romantic  <br/>
Smoky nightclub situation  <br/>
Your cigarette traces a ladder  <br/>
<br/>
Here's looking at you, kid  <br/>
Celebrate years  <br/>
Here's looking at you, kid<br/>
Wipe away tears<br/>
<br/>
Long time since we're together<br/>
Now I hope it's forever<br/>
Ideal love flies away now<br/>
White jacket, black tie, wings too<br/>
You gave her away to the hero<br/>
Words don't express my meaning<br/>
Notes could not spell out the score<br/>
But finding not keeping's the lesson<br/>
<br/>
Here's looking at you, kid  <br/>
Hard to forget  <br/>
Here's looking at you, kid <br/>
At least not yet<br/>
<br/>
Your memory stays  <br/>
It lingers ever <br/>
Will fade away never<br/><br/><br/> </div>"
3,Radiohead,4 Minute Warning,https://songmeanings.com/songs/view/3530822107858593065/,"<div class=""holder lyric-box"">
						This is just a nightmare<br/>
Soon I'm gonna wake up<br/>
Someone's gonna bring me 'round<br/>
<br/>
Running from the bombers<br/>
Hiding in the forest<br/>
Running through the fields<br/>
Laying flat on the ground<br/>
<br/>
Just like everybody<br/>
Stepping over hills<br/>
Running from the underground<br/>
<br/>
This is your warning<br/>
4 minute warning<br/>
<br/>
I don't wanna hear it<br/>
I don't wanna know<br/>
I just wanna run and hide<br/>
<br/>
This is just a nightmare<br/>
But soon I'm gonna wake up<br/>
Someone's gonna bring me 'round<br/>
<br/>
This is our warning<br/>
4 minute warning<br/><br/><br/> </div>"
4,Radiohead,A Punchup at a Wedding (No No No No No No No No),https://songmeanings.com/songs/view/3458764513820555544/,"<div class=""holder lyric-box"">
						I don't know why you bother<br/>
Nothing's ever good enough for you<br/>
I was there<br/>
And it wasn't like that<br/>
You came here<br/>
Just to start a fight<br/>
<br/>
You had to piss on our parade<br/>
You had to shred our big day<br/>
You had to ruin it for all concerned<br/>
In a drunken punch up at a wedding<br/>
<br/>
Hypocrite opportunist<br/>
Don't infect me with your poison<br/>
A bully in a china shop<br/>
<br/>
When I turn around you stay<br/>
Frozen to the spot<br/>
The pointless snide remarks<br/>
Of hammer headed sharks<br/>
The pot will call the kettle black<br/>
<br/>
It's a drunken punchup at a wedding, yeah<br/><br/><br/> </div>"
5,Radiohead,A Reminder,https://songmeanings.com/songs/view/33370/,"<div class=""holder lyric-box"">
						If I get old<br/>
I will not give in<br/>
But if I do<br/>
Remind me of this<br/>
<br/>
Remind me that<br/>
Once I was free<br/>
Once I was cool<br/>
Once I was me<br/>
<br/>
And if I sat down<br/>
And crossed my arms <br/>
Hold me to<br/>
This song<br/>
<br/>
Knock me out<br/>
Smash out my brains<br/>
If I take a chair<br/>
And start to talk shit<br/>
<br/>
If I get old<br/>
Remind me of this<br/>
The night we kissed<br/>
And I really meant it<br/>
<br/>
Whatever happens<br/>
If we're still speaking<br/>
Pick up the phone<br/>
Play me this song<br/><br/><br/> </div>"
6,Radiohead,A Wolf at the Door (It Girl. Rag Doll),https://songmeanings.com/songs/view/150123/,"<div class=""holder lyric-box"">
						Drag him out your window<br/>
Dragging out the dead<br/>
Singing I miss you<br/>
Snakes and ladders flip the lid<br/>
Out pops the cracker<br/>
Smacks you in the head<br/>
Knives you in the neck<br/>
Kicks you in the teeth<br/>
Steel toe caps<br/>
Takes all your credit cards<br/>
Get up get the gunge<br/>
Get the eggs<br/>
Get the flan in the face<br/>
The flan in the face<br/>
The flan in the face<br/>
Dance you fucker dance you fucker<br/>
Don't you dare<br/>
Don't you dare<br/>
Don't you flan in the face<br/>
Take it with the love its given<br/>
Take it with a pinch of salt<br/>
Take it to the tax man<br/>
Let me back<br/>
Let me back<br/>
I promise to be good<br/>
Don't look in the mirror at the face you don't recognize<br/>
Help me, call the doctor, put me inside<br/>
Put me inside<br/>
Put me inside<br/>
Put me inside<br/>
Put me inside<br/>
<br/>
I keep the wolf from the door<br/>
But he calls me up<br/>
Calls me on the phone<br/>
Tells me all the ways that he's gonna mess me up<br/>
Steal all my children if I don't pay the ransom<br/>
And I'll never see them again if I squeal to the cops<br/>
<br/>
Walking like giant cranes<br/>
And with my X-ray eyes I strip you naked<br/>
In a tight little world<br/>
And are you on the list?<br/>
Stepford wives who are we to complain?<br/>
Investments and dealers<br/>
Investments and dealers<br/>
Cold wives and mistresses<br/>
Cold wives and Sunday papers city<br/>
Boys in first class don't know we're born just know<br/>
Someone else is gonna come and clean it up<br/>
Born and raised for the job<br/>
Someone always does<br/>
I wish you'd get up get over<br/>
Get up get over and turn the tape off<br/>
<br/>
I keep the wolf from the door<br/>
But he calls me up<br/>
Calls me on the phone<br/>
Tells me all the ways that he's gonna mess me up<br/>
Steal all my children if I don't pay the ransom<br/>
And I'll never see them again if I squeal to the cops<br/>
<br/>
So I'm just gonna<br/><br/><br/> </div>"
7,Radiohead,Airbag,https://songmeanings.com/songs/view/549/,"<div class=""holder lyric-box"">
						In the next world war<br/>
In a jack knifed juggernaut<br/>
I am born again<br/>
<br/>
In the neon sign<br/>
Scrolling up and down<br/>
I am born again<br/>
<br/>
In an interstellar burst<br/>
I am back to save the universe<br/>
<br/>
In a deep, deep sleep<br/>
Of the innocent<br/>
I am born again<br/>
<br/>
In a fast German car<br/>
I'm amazed that I survived<br/>
An airbag saved my life<br/>
<br/>
In an interstellar burst<br/>
I am back to save the universe<br/>
<br/>
In an interstellar burst<br/>
I am back to save the universe<br/>
<br/>
In an interstellar burst<br/>
I am back to save the universe<br/><br/><br/> </div>"
8,Radiohead,All I Need,https://songmeanings.com/songs/view/3530822107858607621/,"<div class=""holder lyric-box"">
						I'm the next act<br/>
Waiting in the wings<br/>
I'm an animal<br/>
Trapped in your hot car<br/>
I am all the days<br/>
That you choose to ignore<br/>
<br/>
You are all I need<br/>
You are all I need<br/>
I'm in the middle of your picture<br/>
Lying in the reeds<br/>
<br/>
I am a moth<br/>
Who just wants to share your light<br/>
I'm just an insect<br/>
Trying to get out of the night<br/>
<br/>
I only stick with you<br/>
Because there are no others<br/>
<br/>
You are all I need<br/>
You are all I need<br/>
I'm in the middle of your picture<br/>
Lying in the reeds<br/>
<br/>
It's all wrong<br/>
It's all right<br/>
It's all wrong<br/>
It's all wrong<br/>
It's all right<br/>
It's all wrong<br/>
It's all wrong<br/>
It's all right<br/>
It's all wrong<br/>
It's all right<br/><br/><br/> </div>"
9,Radiohead,Alligators in New York Sewers,https://songmeanings.com/songs/view/3530822107858725416/,"<div class=""holder lyric-box"">
						There's a little child<br/>
Running around this house<br/>
And he never leaves<br/>
He will never leave<br/>
And the fog comes up from the sewers<br/>
And glows in the dark<br/>
<br/>
Baby alligators in the sewers grow up fast<br/>
Grow up fast<br/>
Anything you want, it can be done<br/>
How did you go bad?<br/>
Did you go bad?<br/>
Did you go bad?<br/>
Some things will never wash away<br/>
Did you go bad?<br/>
Did you go bad?<br/><br/><br/> </div>"
